이름,AVG,OPS,wRC+,WAR,RNG,WAA,salary
구자욱,0.307,0.863,126,3.36,3.67,0.074,36000
박해민,0.292,0.764,99.1,2.56,17.38,1.768,38000
김헌곤,0.245,0.616,64.8,-0.4,2.67,0.13,16000
김동엽,0.311,0.865,121.8,2.13,0.14,-0.166,21000
김상수,0.304,0.798,118.2,3.26,-4.22,-0.208,25000
이학주,0.232,0.663,70.3,0.42,0.75,0.377,7000
김지찬,0.232,0.573,53.2,0.12,1.09,0.277,7000
이성규,0.181,0.618,50.1,-0.92,2.03,-0.217,7000
박승규,0.258,0.632,63.1,-0.35,3.15,0.288,5700
강한울,0.305,0.729,90.8,0.55,-3.26,0.174,12000
강백호,0.329,0.957,149.7,4.69,3.23,-0.644,31000
심우준,0.235,0.591,50.1,-0.08,4.03,0.911,15500
조용호,0.296,0.725,99.6,1.49,2.86,-0.006,13000
배정대,0.289,0.792,110.2,3.56,1.62,0.806,14000
김민혁,0.239,0.659,73,-0.15,1.37,-0.217,6500
박승욱,0.264,0.704,86.8,0.34,-3.73,-0.395,8000
강민국,0.224,0.524,29.7,-0.51,-3.07,-0.22,5500
송민섭,0.195,0.633,54,-0.24,1.77,0.445,5700
문상철,0.26,0.775,94.6,0.28,2.93,0.085,6000
로하스,0.321,0.905,151.3,5.49,-1,-0.122,112850
박건우,0.304,0.841,126.4,3.79,2.72,-0.078,48000
김재환,0.266,0.869,135.4,4.72,-8.69,-1.462,76000
김인태,0.185,0.646,85.5,0.23,1.08,0.01,6500
서예일,0.24,0.63,69.6,0.06,0.01,-0.003,3500
김호재,0.322,0.806,124,1.11,-0.04,0.348,6000
조수행,0.263,0.563,52.5,-0.02,-0.01,-0.053,7500
안권수,0.27,0.57,48.2,-0.33,-0.89,-0.057,3500
박계범,0.2,0.532,29,-0.82,-4.02,-0.32,7000
호미페,0.341,0.904,147.5,4.39,0.55,-0.093,67710
류지혁,0.381,0.964,155.7,0.63,0,-0.01,10000
이정후,0.334,0.925,145.2,5.68,7.99,0.536,55000
서건창,0.277,0.778,112.2,2.17,2.62,0.356,22500
김혜성,0.285,0.745,99.9,2.77,5.86,0.433,17000
전병우,0.234,0.665,77.7,0.71,4.1,0.564,6000
허정협,0.271,0.767,108.4,1.43,-4.91,-0.596,7000
박준태,0.246,0.718,101,1.83,-0.21,-0.129,11000
김웅빈,0.275,0.789,104.8,0.77,-1.03,-0.464,5600
변상권,0.274,0.685,77.5,0.15,0.74,0.021,3500
박병호,0.222,0.789,112.3,1.62,1.53,-0.467,150000
박정음,0.186,0.488,29.2,0,-2.46,-0.351,4300
노시환,0.22,0.685,78.7,0.85,0.27,0.187,6000
하주석,0.286,0.674,81.2,0.85,-4.06,-0.109,13500
정은원,0.244,0.67,88.3,0.74,-1.7,0.003,12000
정진호,0.278,0.708,87.3,0.38,0.6,-0.123,12000
임종찬,0.231,0.602,61.7,-0.32,-1.29,-0.238,3600
강경학,0.229,0.692,87.8,0.44,-1.01,-0.095,8700
오선진,0.224,0.595,66.7,0.59,-1.12,0.118,10000
이성곤,0.275,0.759,91.9,0.21,-2.08,-0.249,5400
노수광,0.251,0.649,76.7,0.23,0.06,-0.112,17300
김민하,0.288,0.785,112.4,0.37,1.2,-0.059,4500
강진성,0.315,0.831,115.4,1.97,1.05,-0.579,12000
권희동,0.263,0.801,111.7,2.08,1.64,0.148,17000
노진혁,0.268,0.82,109.6,3.02,-0.73,0.537,23000
박민우,0.347,0.884,133.8,4.48,5.21,0.66,63000
이명기,0.309,0.749,102.6,1.75,-0.49,-0.25,27000
이원재,0.258,0.729,81.7,-0.1,0.13,0.036,6600
김성욱,0.23,0.689,80.5,0.65,3.18,0.392,12000
알테어,0.277,0.888,122.7,4.26,-1.33,-0.094,124135
김찬형,0.29,0.725,85.6,0.22,-5.25,-0.315,4800
나성범,0.324,0.98,150.9,4.94,-0.64,-0.202,78000
정주현,0.25,0.658,73.2,0.14,-3.3,-0.159,14000
신민재,0.32,0.774,104.3,0.23,1.17,0.125,5500
구본혁,0.167,0.474,23,-0.37,2.86,0.382,6300
양석환,0.246,0.68,82.5,0.18,3.99,0.291,21000
이천웅,0.257,0.673,83.5,0.62,-1.25,-0.177,19000
이형종,0.296,0.916,146.5,2.73,1.78,-0.324,18000
홍창기,0.281,0.829,130.5,3.94,9.12,1.006,10000
채은성,0.293,0.803,116.8,2.08,5.4,0.107,30000
라모스,0.277,0.959,154.8,4.35,4.4,-0.285,67710
김호은,0.253,0.679,84.9,0.1,1.26,0.026,5000
김호령,0.232,0.698,77.5,0.28,-4.25,-0.199,7300
최원준,0.326,0.808,112.6,2.47,-9.27,-0.943,13000
이창진,0.33,0.847,130.3,0.71,-4.05,-0.258,7000
황대인,0.276,0.798,115.2,0.47,1.4,-0.128,4300
유민상,0.246,0.709,89,0.48,-3.29,-1.14,10500
김태진,0.233,0.542,40.4,-1.07,0,0.102,8500
박찬호,0.221,0.548,39.9,-1.15,3.99,1.031,10000
김규성,0.178,0.507,21,-1.01,2.89,0.4,4500
나주환,0.279,0.713,82.7,0.5,-1.32,-0.09,10000
나지완,0.291,0.837,124,3.08,-6.3,-1.393,40000
한동희,0.278,0.797,108.4,1.18,7.71,0.667,11000
오윤석,0.298,0.81,116.9,1.31,-3.32,-0.385,6000
강로한,0.24,0.654,77.1,0.74,-8.29,-0.852,5300
김재유,0.258,0.637,74.5,0.28,1.15,0.048,4200
신본기,0.256,0.602,68.5,0.6,0.11,0.128,12500
정훈,0.295,0.809,115.8,2.69,-4.39,-0.654,10000
허일,0.255,0.617,74.9,0.11,-0.21,-0.033,2700
김동한,0.282,0.667,86.6,0.23,0.73,0.107,4500
마차도,0.28,0.778,102.5,3.25,11.92,1.883,56425
이병규,0.274,0.845,123.6,0.96,-1.71,-0.365,5500
정진기,0.24,0.618,52.2,-0.2,3.36,-0.088,3500
고종욱,0.284,0.691,83.2,0.02,-0.18,-0.404,11000
최지훈,0.254,0.633,67.8,0.18,6.99,0.722,8000
정현,0.155,0.489,24.3,-0.48,-1.98,-0.058,3000
김창평,0.192,0.558,52.3,0.02,-1.67,-0.134,3000
한유섬,0.249,0.871,121,1.23,-6.01,-0.68,18000
최항,0.265,0.701,92.6,0.61,2.26,0.283,5500
오준혁,0.27,0.701,83.4,-0.1,1.2,-0.049,4000
박성한,0.242,0.648,73,0.24,0.66,0.191,3000
오태곤,0.274,0.728,89.4,0.8,0.01,-0.118,8500
