date,avgTemp,minTemp,maxTemp,avgWind,OPS,최정,전준우,로하스,페르난데스,김현수,최형우,러프,로맥,유한준,샌즈
2019-03-24,4.3,-0.8,9.7,2.3,0.592,0.125,0.875,0.375,0.833,0.347,0.25,0.476,1.25,0.5,0.889
2019-03-26,11.4,7.4,17.6,2,0.5892,0.083,0.75,0.377,0.775,0.496,0.258,1.021,0.833,0.615,0.684
2019-03-27,11.6,8.9,16.2,3,0.6609,0.243,1.063,0.603,1,0.503,0.435,1.117,0.625,0.513,0.507
2019-03-28,9.4,5.6,14.6,2.6,0.7397,0.195,1.048,0.772,0.874,0.4,0.759,1.167,0.75,0.634,0.798
2019-03-29,9.2,5.5,15.1,2.1,0.7113,0.383,0.96,0.747,0.921,0.333,0.634,1.06,0.72,0.637,0.718
2019-03-30,5.2,3.5,8.4,2.9,0.7172,0.339,0.903,0.663,0.935,0.363,0.772,1.014,0.621,0.704,0.858
2019-03-31,4.4,2.6,8.4,3.2,0.735,0.55,0.825,0.602,0.913,0.437,0.782,1.007,0.621,0.748,0.865
2019-04-02,6.7,1.3,13,2.2,0.7429,0.519,0.891,0.539,0.974,0.503,0.788,0.986,0.606,0.69,0.933
2019-04-03,7.6,1.9,13.6,2.3,0.7474,0.533,0.904,0.564,0.952,0.629,0.81,0.928,0.66,0.657,0.837
2019-04-04,9.2,3,15.7,2.5,0.7744,0.495,1.004,0.584,1.078,0.599,0.887,1.091,0.58,0.603,0.823
2019-04-05,11.4,7,17.2,2.9,0.7854,0.496,1.082,0.643,1.007,0.663,0.809,1.098,0.633,0.616,0.807
2019-04-06,9.3,5.9,12.2,1.1,0.7887,0.583,1.058,0.633,0.986,0.699,0.8,0.997,0.622,0.608,0.901
2019-04-07,12.6,5.6,20.3,1.7,0.7779,0.706,0.958,0.589,1.044,0.648,0.636,0.988,0.599,0.653,0.958
2019-04-09,9.2,4.7,13.9,2.4,0.7681,0.383,1.018,0.69,0.984,0.682,0.704,0.943,0.649,0.676,0.952
2019-04-10,7.1,4.7,10.2,1.8,0.8104,0.715,1.02,0.721,0.999,0.694,0.758,0.94,0.66,0.685,0.912
2019-04-11,9.5,4.3,15.7,1.9,0.7722,0.383,1.018,0.727,0.984,0.682,0.704,0.943,0.649,0.645,0.987
2019-04-12,11.4,5.5,18.4,2.2,0.7869,0.695,0.958,0.697,0.984,0.677,0.636,0.937,0.681,0.646,0.958
2019-04-13,11.8,6.2,17.9,1.8,0.8025,0.826,1.011,0.713,0.936,0.718,0.628,0.895,0.661,0.691,0.946
2019-04-14,9.6,6.9,13.6,2.2,0.8156,0.796,0.998,0.686,0.973,0.718,0.593,1.007,0.679,0.73,0.976
2019-04-16,14.9,6.8,22.6,1.6,0.8099,0.808,0.98,0.71,1.005,0.733,0.613,0.951,0.644,0.703,0.952
